artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Fireboy DML,Playboy,All Of Us (Ashawo),6459gZKddpOoPIH8PAcCwS,0.605,0.813,11,-6.416,1,0.0903,0.0033,0.132,0.748,199.837,183350,4
Burna Boy,"Love, Damini",It's Plenty,5hVjoL3sHepZROri63wBxP,0.776,0.565,7,-10.609,1,0.105,8.81e-05,0.308,0.53,107.035,216992,4
Omah Lay,Boy Alone,soso,1wADwLSkYhrSmy4vdy6BRn,0.711,0.725,3,-8.315,0,0.0941,0.129,0.11,0.53,105.016,183057,4
Fireboy DML,Playboy,Diana,6g8vNyogMW32lhHlNcDiwX,0.786,0.357,2,-7.735,0,0.0372,8.37e-05,0.11,0.524,108.946,232156,4
DJ Tunez,Cruise Control Vol. 1,Bad Girl (feat. Wande Coal & Victony),0Q6LyEu3vMd5zCsTMUqm6T,0.823,0.762,9,-6.752,0,0.0481,1.67e-05,0.113,0.338,114.015,204232,4
Bella Shmurda,New Born Fela,New Born Fela,3yifENCc2SkxVfpfnuCwas,0.796,0.554,6,-6.261,0,0.209,0,0.187,0.452,103.989,129808,4
Tiwa Savage,Jaiye Foreign,Jaiye Foreign,3iRKwxW8ZDjmL9nKk3nisz,0.82,0.816,5,-6.29,0,0.077,7.81e-05,0.0541,0.861,108.98,190165,4
Peruzzi,Hypertension / Things I Need,Hypertension,5lLwFE3fCAQllnPLsKtFP9,0.844,0.839,6,-6.188,1,0.0478,0.00141,0.0694,0.621,113.933,197895,4
JAE5,Propeller (feat. Dave & BNXN),Propeller (feat. Dave & BNXN),4A7sSA10D35HQUNrSOl5Zo,0.846,0.508,8,-7.873,1,0.308,0.000126,0.0961,0.567,126.447,204440,5
Burna Boy,Last Last,Last Last,2PDgArI0p7UkeYgXWuqpmh,0.795,0.565,3,-4.457,0,0.0948,0,0.0802,0.55,87.925,172342,4
Soundz,In The Rough,Attention,1VxjsBmtDT2Vmhr6YpW9G2,0.806,0.425,2,-7.636,0,0.0438,1.66e-06,0.101,0.387,106.049,165283,4
Burna Boy,"Love, Damini",For My Hand (feat. Ed Sheeran),0HaRLPnr887lcQM2YQzkff,0.87,0.479,9,-7.779,1,0.165,0.000157,0.209,0.717,104.059,159124,4
Omah Lay,Boy Alone,i'm a mess,65v99AWZyNz3aRmfrT2I7N,0.682,0.633,4,-6.213,1,0.239,0.0328,0.112,0.601,123.259,153946,5
TAR1Q,SON OF THE MOON,bAd IntentIons,0UnOyqOuDW8vk4P2mrjPEs,0.646,0.441,1,-5.377,0,0.0956,0,0.112,0.393,112.01,172098,4
Kizz Daniel,Buga (Lo Lo Lo),Buga (Lo Lo Lo),4eZZofkV1OQ9GDqAgHqNpA,0.92,0.716,8,-7.104,1,0.105,0.00222,0.104,0.961,115.991,183103,4
Yrw Savage,Omah Lay,Omah Lay,5AoTTqiTzdLkcMQjXnIUDC,0.513,0.375,11,-10.372,0,0.363,0.255,0.0961,0.551,66.651,144019,5
1da Banton,Summer Love,Summer Love,7tzOeM0LbXJYMzjny2D45r,0.73,0.568,6,-6.033,0,0.188,1.27e-06,0.205,0.311,102.754,179417,4
Magixx,Shaye,Shaye,0hFgFEdlRzbWGZGEHiCwPy,0.655,0.757,5,-5.625,1,0.133,2.05e-05,0.099,0.655,114.999,169043,4
Oxlade,KU LO SA - A COLORS SHOW,KU LO SA - A COLORS SHOW,2WigMwGJysIh9fRnSJvpjn,0.649,0.655,10,-5.534,0,0.0652,0,0.22,0.793,92.9,147581,4
Romi,Romi,Numbers,4GKMmjfoBUAF3v31I3dU2n,0.631,0.443,7,-7.143,1,0.414,0,0.0863,0.493,199.867,136800,4
Chike,The Brother's Keeper,Bad,07NtuuBsiXyeUjMGceBKao,0.903,0.494,1,-7.749,1,0.148,0.0118,0.285,0.694,109.96,161403,4
Magixx,ATOM,All Over,394IT4yrYjwT65ePqKLFbq,0.798,0.516,6,-9.995,1,0.213,4.3e-05,0.124,0.639,100.018,175200,4
Mayorkun,Certified Loner (No Competition),Certified Loner (No Competition),6NKuW3yaNXtloGw1RB8WUi,0.931,0.676,6,-7.492,0,0.0498,0,0.103,0.739,111.948,165000,4
Jaywillz,Sun Flower (EP),Wishlist,50z3YAFMincQJ4jIBlgBGk,0.481,0.685,5,-6.795,1,0.309,0,0.0935,0.847,67.1,150747,5
Pheelz,Finesse,Finesse,3UqcIgObI7zZk8e7nvqmfc,0.861,0.537,1,-8.199,0,0.159,0,0.289,0.769,102.014,151765,4
Iyanya,Like (feat. Kizz Daniel),Like (feat. Kizz Daniel),5Zez1biAREA2C8706kdlIb,0.745,0.709,2,-5.123,1,0.0511,0.00986,0.118,0.791,109.961,150545,4
King Promise,10 Toes (feat. Omah Lay),10 Toes (feat. Omah Lay),3J7nQSm2GxkjArlboiY1m9,0.751,0.564,0,-7.837,0,0.164,3.02e-06,0.142,0.601,103.952,177068,4
Mavins,Overloading (OVERDOSE),Overloading (OVERDOSE),4lVEVXrlQlXPdYWMGTwrFe,0.546,0.611,0,-9.459,0,0.172,0.00149,0.101,0.749,104.059,205000,4
Joeboy,Spiritual Gbedu - A COLORS SHOW,Spiritual Gbedu - A COLORS SHOW,61n4jnocmK2GiRSdNYXfSJ,0.85,0.582,0,-9.158,0,0.0459,0.039,0.102,0.445,108.02,126578,4
Ruger,The Second Wave Deluxe,Girlfriend,4MzOppXoeKvDsVaNMeOK3C,0.788,0.913,5,-4.495,0,0.0671,0.0689,0.272,0.672,99.994,196800,4
Majeeed,Bitter Sweet,No Room For Love,3UsjXOmKtQhUs9yD9cd05F,0.781,0.557,11,-7.351,1,0.112,1.98e-05,0.626,0.528,94.999,189789,4
Chris Brown,Call Me Every Day (feat. Wizkid),Call Me Every Day (feat. Wizkid),7vVs4XCsQyGn1Au3drvo9Z,0.729,0.634,4,-7.194,0,0.175,1.35e-05,0.0997,0.772,171.862,146840,4
